dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
german-credit,rf,WOA,2.2,0.23421715019210015,0.025337942262397533,2.408593871671873,0.2162825629203745,0.62353533689419,0.029969030508636432,5
german-credit,svm,GA,2.0,0.29956197043781263,0.0,2.9831599757170784,0.0,0.5596182606271302,0.0,4
german-credit,svm,GWO,2.0,0.2985228611932781,0.004284357171771811,2.9713885284818566,0.048534920317204265,0.5607547960493846,0.004686055593210864,17
german-credit,svm,PSO,2.0,0.29956197043781263,0.0,2.9831599757170784,0.0,0.5596182606271302,0.0,4
german-credit,svm,WOA,2.0,0.2758343697462573,0.04745520138311071,2.7597849742274447,0.446750002979267,0.5864841208674272,0.05373172048059394,4
german-credit,xgb,GA,2.0,0.28237814438127506,0.0,2.8150325285749687,0.0,0.57781422495807,0.0,3
german-credit,xgb,GWO,2.25,0.2390495595125094,0.06551541545210432,2.5587443116079776,0.33325650924753997,0.616312182150022,0.05559969042859522,4
german-credit,xgb,PSO,2.0,0.2785055887797538,0.011617666804563756,2.7789325603279895,0.10829990474093686,0.5818248916911373,0.012032000199201658,9
german-credit,xgb,WOA,2.076923076923077,0.2631669497645286,0.040748632972862756,2.685930530579939,0.222690920721776,0.5953878833965521,0.034562324506170264,13
heart-disease,rf,GA,4.0,0.11357861986075014,0.0,2.0564674499069517,0.0,0.6043224408590668,0.0,3
heart-disease,rf,GWO,3.875,0.09625943821803513,0.028103336667006398,2.006585189815126,0.0995587553124979,0.6167136259512882,0.014926307708756506,8
heart-disease,rf,PSO,4.0,0.09887668377691569,0.029403872167668894,2.057246366312961,0.00155783281201786,0.608252067214273,0.007859252710412592,4
heart-disease,rf,WOA,3.3846153846153846,0.10735501865638021,0.027086496402143966,1.9493572169497262,0.11330353380235876,0.628956652329787,0.020457352709376243,13
heart-disease,svm,GA,3.6666666666666665,0.12767104139385776,0.02302377312260112,2.4925797005028327,0.23422077628716428,0.5712366756427494,0.026691203060845457,3
heart-disease,svm,GWO,3.6363636363636362,0.13130375095700145,0.03143339819541145,2.542368315543717,0.16299303123403336,0.5626942061337881,0.015607124863364595,11
heart-disease,svm,PSO,4.0,0.11437825978376315,0.0,2.6278071287420306,3.1401849173675503e-16,0.5558265023705752,0.0,3
heart-disease,svm,WOA,3.1666666666666665,0.15247769135500958,0.017892781141572844,2.428555282699144,0.10707484569620564,0.5686327729503826,0.011488974471979755,12
heart-disease,xgb,GA,2.142857142857143,0.13270889548949547,0.028785497813795274,1.9002546067430477,0.015863855065933418,0.6715270882622174,0.004846818766965039,7
heart-disease,xgb,GWO,2.2,0.1198223465610437,0.03493109217212903,1.8006104022725988,0.15882409796376795,0.6933877489124946,0.03393591747663234,5
heart-disease,xgb,PSO,2.0,0.14358879100099486,0.0,1.906250580362938,0.0,0.6696951629611902,0.0,8
heart-disease,xgb,WOA,2.25,0.13164274191893885,0.03378852925723655,1.898245033374733,0.02264310624986894,0.6713157206503823,0.00458362932532679,8
hill_valley,rf,GWO,2.4444444444444446,0.7680430313751679,0.022495953803565182,24.423319477801716,0.009708666413643652,0.14462585286214236,0.0019328302421013379,9
hill_valley,rf,PSO,2.6153846153846154,0.758553680777612,0.028412603897005097,26.31002086324577,6.480055184880158,0.1565173741610978,0.024999804554990304,13
hill_valley,rf,WOA,2.0,0.775541682643023,0.0,24.4265556999396,0.0,0.14398157611477524,0.0,4
hill_valley,svm,GA,2.0,0.8916134019316849,0.0,69.31005645277152,0.0,0.07120605735271562,0.0,3
hill_valley,svm,GWO,2.0,0.8916134019316849,0.0,69.31005645277152,0.0,0.07120605735271562,0.0,13
hill_valley,svm,PSO,2.2,0.8864793897642589,0.011480000203675837,69.8370246053116,1.178336611057101,0.07241029001815788,0.0026927461006546363,5
hill_valley,svm,WOA,2.0,0.8916134019316849,0.0,69.31005645277152,0.0,0.07120605735271562,0.0,4
hill_valley,xgb,GA,2.0,0.8272113896197906,0.0,35.97165350637855,0.0,0.10914156568893443,0.0,2
hill_valley,xgb,GWO,2.5555555555555554,0.8136305580039552,0.027081029926839452,35.22934686030655,1.5191394282900887,0.11229087194350439,0.0063821780571571346,9
hill_valley,xgb,PSO,2.25,0.8132702712449766,0.02788223674962791,34.95071809215902,2.0418708284390563,0.11333252448657566,0.008381917595282439,4
hill_valley,xgb,WOA,2.0,0.8272113896197906,0.0,35.97165350637855,0.0,0.10914156568893443,0.0,13
horse-colic,rf,GA,3.0,0.13855808115787888,,1.9719088024683538,,0.6363205714399837,,1
horse-colic,rf,GWO,2.8,0.1299784898257884,0.019184549437722236,1.8768021956104104,0.21266483804370895,0.6577586265185387,0.04793694846103337,5
horse-colic,rf,PSO,2.5384615384615383,0.14051393479958196,0.002198825682692354,1.8883846433726044,0.09390020921253303,0.6563986687713459,0.022572361822203176,13
horse-colic,rf,WOA,2.25,0.1415045992132026,0.0018630861564892744,1.8180463452203433,0.1001044869250742,0.6721022954007861,0.022761326192244916,8
horse-colic,svm,GA,2.1666666666666665,0.22890246328670397,0.08119903765881237,2.495667031518206,0.4750229379315463,0.6004287412940847,0.07248809518627701,6
horse-colic,svm,GWO,2.0,0.262051831598225,0.0,2.6895943338598816,0.0,0.5708356003553053,0.0,9
horse-colic,svm,PSO,2.0,0.262051831598225,0.0,2.6895943338598816,0.0,0.5708356003553053,0.0,4
horse-colic,svm,WOA,2.0,0.262051831598225,0.0,2.6895943338598816,0.0,0.5708356003553053,0.0,8
horse-colic,xgb,GA,2.0,0.15240926485436723,0.0,1.838158594382359,0.0,0.6716114253611082,0.0,3
horse-colic,xgb,GWO,2.0,0.14932288279443792,0.011128108772747346,1.8144933242270131,0.0853263449928076,0.67629790781244,0.016897352779838826,13
