,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
82,column,rf,Meta_WOA,50.0,30.0,4.0,0.20631832515572932,0.0417836146817815,2.9315584495484046,0.9580579275110317,0.5117565855026096,0.042385786791095725,10
83,column,rf,Meta_WOA,50.0,50.0,4.0,0.2093288257277901,0.03922740200148615,3.1460738853606367,0.8277879350045138,0.4852862513591936,0.011029922300890617,10
84,column,svm,AffinityPropagation,,,5.9,0.2146670651478814,0.01483826741175144,15.014046040456318,1.7773806022191319,1.151260122859436,0.06929936960431837,10
85,column,svm,EvoCluster_PSO,20.0,30.0,2.3,0.41158256479309585,0.08350002902801841,4.964041772766878,0.2538136411034455,0.40941915495511827,0.018814215632944564,10
86,column,svm,EvoCluster_PSO,20.0,50.0,2.2,0.41775261886710185,0.06398860486775855,4.969939957633146,0.23516194286530107,0.4089486557269679,0.01732636643463819,10
87,column,svm,EvoCluster_PSO,50.0,30.0,2.0,0.43798759243496727,0.0,5.04430469347762,0.0,0.40346957757615315,0.0,10
88,column,svm,EvoCluster_PSO,50.0,50.0,2.3,0.41660339696477244,0.0676227636160709,5.649584164559676,1.9140617495613206,0.423955803137641,0.06478313343426331,10
89,column,svm,Meta_GA,20.0,30.0,6.0,0.3740276326907376,0.09621502370110413,5.922398933278602,2.185194311592932,0.45146496226039573,0.07906726261426363,10
90,column,svm,Meta_GA,20.0,50.0,6.0,0.27819116694759033,0.16681687942638182,5.030767326715176,1.86298453492547,0.4698046782151823,0.0716098460073457,10
91,column,svm,Meta_GA,50.0,30.0,6.0,0.42935093986827433,0.027311493470289147,4.9875285918331915,0.1795417978616227,0.40818472375457027,0.014910601424436863,10
92,column,svm,Meta_GA,50.0,50.0,6.0,0.43798759243496727,0.0,5.04430469347762,0.0,0.40346957757615315,0.0,10
93,column,svm,Meta_GWO,20.0,30.0,6.0,0.31271576960778175,0.09057374710761001,5.524618279550434,2.0221747123574483,0.5059545076246483,0.09343605750480646,10
94,column,svm,Meta_GWO,20.0,50.0,6.0,0.3388624030147885,0.09673329611890936,4.774328075036047,0.47367965045661725,0.4552049837808652,0.07717354598680147,10
95,column,svm,Meta_GWO,50.0,30.0,6.0,0.4034409821681953,0.04459948207704201,4.81720028689991,0.29319052817526386,0.4223301622898218,0.024348910165257562,10
96,column,svm,Meta_GWO,50.0,50.0,6.0,0.4207142873015813,0.036415324627052194,4.930752490188764,0.2393890638154969,0.41289986993298744,0.01988080189924915,10
97,column,svm,Meta_PSO,20.0,30.0,6.0,0.29693260470329524,0.12107968067208723,5.99790045742838,2.592493627140319,0.4998679711241273,0.09463057003399314,10
98,column,svm,Meta_PSO,20.0,50.0,6.0,0.3745798943589106,0.11492841660560334,4.607263313675456,0.8503257317870957,0.4365668742451569,0.06016807616402492,10
99,column,svm,Meta_PSO,50.0,30.0,6.0,0.3776682876680909,0.11101354078847972,4.757302168698837,0.525033970298493,0.42680092446308376,0.0435126693180969,10
100,column,svm,Meta_PSO,50.0,50.0,6.0,0.41207763473488834,0.041718995389964056,4.873976388544337,0.27425462636978215,0.4176150161114046,0.022776319894932767,10
101,column,svm,Meta_WOA,20.0,30.0,6.0,0.3482540464264453,0.12371874353632728,4.81338981711641,2.0084907260240152,0.4835913071282283,0.1278396612065576,10
102,column,svm,Meta_WOA,20.0,50.0,6.0,0.40182219551040166,0.088294327237417,4.880800072469876,0.3642515378498079,0.41817216663333784,0.03339411229577272,10
103,column,svm,Meta_WOA,50.0,30.0,6.0,0.4115470796184769,0.0836122430029831,4.932849547782675,0.35245211734193593,0.41152326509324955,0.025467996117290743,10
104,column,svm,Meta_WOA,50.0,50.0,6.0,0.42935093986827433,0.027311493470289147,4.9875285918331915,0.1795417978616227,0.40818472375457027,0.014910601424436863,10
105,column,xgb,AffinityPropagation,,,4.0,0.22381222882922067,0.0,8.215383663249959,0.0,0.8626328524250712,0.0,10
106,column,xgb,EvoCluster_PSO,20.0,30.0,3.6,0.25452473595387637,0.026827159034079708,3.714137408303575,0.3124155191242869,0.43472814639184926,0.023209873574227546,10
107,column,xgb,EvoCluster_PSO,20.0,50.0,3.9,0.25525504529683035,0.03198870588371103,3.8580142492150244,0.2602925784313798,0.42104372400113377,0.017103993688913695,10
108,column,xgb,EvoCluster_PSO,50.0,30.0,4.0,0.2733162513544415,0.0258479457122522,4.009794414186205,0.12904916236978461,0.41224219743460233,0.0074703198307879675,10
109,column,xgb,EvoCluster_PSO,50.0,50.0,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.40870450423131155,3.204937810639273e-17,10
110,column,xgb,Meta_GA,20.0,30.0,4.0,0.26097318908509265,0.03176384091024578,3.934201340336074,0.1797677402178499,0.41559877314321325,0.008915806335193895,10
111,column,xgb,Meta_GA,20.0,50.0,4.0,0.24854747349072168,0.03186964974025939,3.840962118901795,0.1951804774067902,0.418774231357144,0.00866664121315609,10
112,column,xgb,Meta_GA,50.0,30.0,4.0,0.27940512916409366,0.01951609503621449,4.029944803527123,0.11952314434986405,0.4103827920856169,0.005307212189001934,10
113,column,xgb,Meta_GA,50.0,50.0,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.40870450423131144,0.0,10
114,column,xgb,Meta_GWO,20.0,30.0,4.0,0.2609731890850927,0.03176384091024578,3.9342013403360747,0.17976774021785014,0.41559877314321325,0.008915806335193899,10
115,column,xgb,Meta_GWO,20.0,50.0,4.0,0.2670257149712197,0.03147079850549963,3.81681594230036,0.32069803607026337,0.4251409951274859,0.02251645785107567,10
116,column,xgb,Meta_GWO,50.0,30.0,4.0,0.27940512916409366,0.019516095036214483,4.029944803527123,0.119523144349864,0.4103827920856169,0.005307212189001954,10
117,column,xgb,Meta_GWO,50.0,50.0,4.0,0.27940512916409366,0.01951609503621449,4.029944803527123,0.11952314434986405,0.4103827920856169,0.0053072121890019456,10
118,column,xgb,Meta_PSO,20.0,30.0,4.0,0.2670620668947449,0.029811327591134935,3.9543517296769912,0.18257461876079517,0.41373936779422776,0.00810690052843123,10
119,column,xgb,Meta_PSO,20.0,50.0,4.0,0.2855766602987681,0.0,4.067741340452188,2.9605947323337506e-16,0.40870450423131155,3.204937810639273e-17,10
120,column,xgb,Meta_PSO,50.0,30.0,4.0,0.2855766602987681,0.0,4.067741340452188,0.0,0.40870450423131144,2.6168207644729584e-17,10
121,column,xgb,Meta_PSO,50.0,50.0,4.0,0.27323359802941927,0.026021460048285986,3.9921482666020567,0.15936419246648528,0.41206107993992236,0.007076282918669262,10
122,column,xgb,Meta_WOA,20.0,30.0,4.0,0.25300953402096904,0.030254514162150786,3.8092205549922853,0.2829342006263737,0.4262853724125941,0.020247317285009354,10
123,column,xgb,Meta_WOA,20.0,50.0,4.0,0.25677024722973774,0.028636990818768932,3.762931102526314,0.3092148568972559,0.429486497980389,0.022795466957156438,10
124,column,xgb,Meta_WOA,50.0,30.0,4.0,0.2550496179254848,0.03217927160002453,3.9493432461634534,0.13543838667943936,0.41782041348155874,0.009624172682122168,10
125,column,xgb,Meta_WOA,50.0,50.0,4.0,0.2612211490601592,0.031442829805166585,3.9871397830885194,0.10405616311595738,0.4161421256272533,0.009601927933959514,10
126,congressional-voting,rf,AffinityPropagation,,,3.0,0.08466447451262489,0.0,2.033613445378151,0.0,1.0609261957329534,0.0,10
127,congressional-voting,rf,EvoCluster_PSO,20.0,30.0,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
128,congressional-voting,rf,EvoCluster_PSO,20.0,50.0,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
129,congressional-voting,rf,EvoCluster_PSO,50.0,30.0,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
