,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
103,diabetes,rf,EvoCluster_PSO,20.0,30.0,2.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
104,diabetes,rf,EvoCluster_PSO,20.0,50.0,2.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
105,diabetes,rf,EvoCluster_PSO,50.0,30.0,2.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
106,diabetes,rf,EvoCluster_PSO,50.0,50.0,2.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
107,diabetes,rf,Meta_GWO,20.0,30.0,9.0,0.3174965301076862,0.1545148449783829,4.039302180467463,0.8635811762056924,0.4887765374775091,0.09045359119391179,10
108,diabetes,rf,Meta_GWO,20.0,50.0,9.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
109,diabetes,rf,Meta_GWO,50.0,30.0,9.0,0.37628155393571594,0.05067984787140858,4.494648415082094,0.1044634914280703,0.4750846811277949,0.10373049097371874,10
110,diabetes,rf,Meta_GWO,50.0,50.0,9.0,0.3825627304466836,0.030817023711201062,4.367131154094695,0.5077084771343807,0.4527612202780376,0.03313750943088794,10
111,diabetes,rf,Meta_PSO,20.0,30.0,9.0,0.28396500320283036,0.11062009544286777,3.9131687143254346,0.623952246838292,0.5181641787771681,0.10258493548667169,10
112,diabetes,rf,Meta_PSO,20.0,50.0,9.0,0.3389791405402588,0.12585827130485538,4.2693447938383065,0.5920690136678525,0.46810730595521133,0.061974141920155934,10
113,diabetes,rf,Meta_PSO,50.0,30.0,9.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
114,diabetes,rf,Meta_PSO,50.0,50.0,9.0,0.37914075980971557,0.0416382450102372,4.464012662090925,0.20134224871448175,0.44853374405148827,0.019769055800778167,10
115,diabetes,rf,Meta_WOA,20.0,30.0,9.0,0.3437042416489299,0.06287641831820946,3.973630995072959,0.7741120455187478,0.48105529980593653,0.05215912311690412,10
116,diabetes,rf,Meta_WOA,20.0,50.0,9.0,0.370631405942903,0.045987707805412045,4.2120157311786866,0.6656076795255476,0.4628320247388933,0.04333347524344326,10
117,diabetes,rf,Meta_WOA,50.0,30.0,9.0,0.34933901320510546,0.07074602954570501,4.223101134971152,0.5395331808225808,0.4674515937045901,0.041556270962298636,10
118,diabetes,rf,Meta_WOA,50.0,50.0,9.0,0.39230792901016465,0.0,4.527682671606711,0.0,0.442282219699346,0.0,10
119,diabetes,svm,AffinityPropagation,,,9.0,0.2189460067358727,0.0,9.61624207463073,0.0,1.1659440461257997,0.0,10
