dataset,classifier,method,seed,num_clusters,silhouette
cylinder-bands,svm,AffinityPropagation_Gower,777,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,1000,8,0.11748954653739929
cylinder-bands,svm,AffinityPropagation_Gower,2024,8,0.11748954653739929
cylinder-bands,xgb,AffinityPropagation_Gower,0,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,7,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,42,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,99,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,123,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,256,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,512,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,777,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,1000,8,0.14862756431102753
cylinder-bands,xgb,AffinityPropagation_Gower,2024,8,0.14862756431102753
