dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
column,rf,Optuna_Auto,8,GWO,14,48,2,0.2291540844263521,2.2636538156275563,0.5739698657872867
column,rf,Optuna_Auto,9,GA,22,86,4,0.18275908666682078,2.477340278341546,0.5001349199280392
column,rf,Optuna_Auto,10,WOA,93,100,4,0.191336704218885,2.981639873089422,0.4773156131617272
column,rf,Optuna_Auto,11,WOA,31,18,3,0.18222805583277749,2.6099571574584144,0.5223914466972375
column,rf,Optuna_Auto,12,GWO,10,73,4,0.3165466445345748,5.460899180416886,0.5088684482975778
column,rf,Optuna_Auto,13,WOA,87,74,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,14,GWO,34,77,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,15,WOA,75,91,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,16,GWO,50,66,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,17,WOA,26,36,3,0.18222805583277749,2.6099571574584144,0.5223914466972374
column,rf,Optuna_Auto,18,GWO,38,80,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,19,WOA,80,65,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,20,GWO,20,92,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,21,GWO,11,44,3,0.18222805583277749,2.6099571574584144,0.5223914466972374
column,rf,Optuna_Auto,22,GWO,16,54,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,23,GWO,27,58,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,24,GWO,18,33,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,rf,Optuna_Auto,25,GWO,11,49,4,0.191336704218885,2.981639873089422,0.4773156131617272
column,rf,Optuna_Auto,26,WOA,52,11,4,0.3165466445345748,5.460899180416886,0.5088684482975778
column,rf,Optuna_Auto,27,WOA,54,11,4,0.191336704218885,2.981639873089422,0.4773156131617272
column,rf,Optuna_Auto,28,WOA,59,27,4,0.21243300166069354,2.8714333431336088,0.48576035985256116
column,rf,Optuna_Auto,29,WOA,48,11,4,0.191336704218885,2.981639873089423,0.4773156131617272
column,svm,Optuna_Auto,0,GA,60,21,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,1,PSO,100,41,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,2,PSO,16,45,4,0.10538954469141933,2.6374979572888204,0.5656908398621346
column,svm,Optuna_Auto,4,PSO,16,45,2,0.43798759243496727,5.04430469347762,0.40346957757615315
